"MAAgent","BollingerAgent","RSIAgent","SentimentAgent","MACRO_0","MACRO_1","MACRO_2","VaR","Action","Price","Type","Quantity","Balance","Open","High","Low","Close","Volume","Client_order_id","Status","Created_at","Updated_at","Symbol","PNL"
0,1,1,-1,-645.9552227354488,33.208884591682576,-8.331234751231007,0,"buy",46102,"market",1.025,45233.25,45922.05,45957.45,45886.94,45957.45,2.00881572,"fb3eadc5-fb2e-4c7a-ab82-409246c7ea07","filled",2022-04-02 18:33:53.185421566,2022-04-02 18:33:53.303189000,"BTCUSD",-278.8000000000029
-1,1,-1,-1,-645.9552227354488,33.208884591682576,-8.331234751231007,0,"sell",45830,"market",1.025,92209,45957.45,45985.44,45947.14,45977.12,3.67461297,"807a4e0a-761c-4aec-a030-56d98b77718d","filled",2022-04-02 18:34:42.813127791,2022-04-02 18:34:42.900418000,"BTCUSD",-278.8000000000029
-1,0,1,-1,-645.9552227354488,33.208884591682576,-8.331234751231007,0.0009884117157079597,"buy",46101,"market",1.025,44955.475,45992.34,45999.32,45988.9,45994.66,1.62612947,"7483ebd7-cb69-484a-a1c6-519ad75b1b57","filled",2022-04-02 18:39:18.589959597,2022-04-02 18:39:18.660765000,"BTCUSD",-297.25
-1,0,-1,0,-645.9552227354488,33.208884591682576,-8.331234751231007,0,"sell",45811,"market",1.025,91911.75,45996.52,45996.52,45944.38,45964.72,5.63516429,"4c1a6ac2-5771-422a-bf7d-57ac6b531848","filled",2022-04-02 18:40:04.081338528,2022-04-02 18:40:04.187929000,"BTCUSD",-297.25
1,0,1,0,-645.9552227354488,33.208884591682576,-8.331234751231007,0,"buy",46021,"market",1.025,44740.225,45960.15,45996.52,45858.28,45876.63,8.77385862,"38f2af97-adfd-4a85-a4c4-9738daf44820","filled",2022-04-02 18:41:03.983589929,2022-04-02 18:41:04.021713000,"BTCUSD",-277.77500000000146
0,0,-1,0,-645.9552227354488,33.208884591682576,-8.331234751231007,0,"sell",45750,"market",1.025,91633.975,45887.03,45902.41,45839.32,45849.06,4.01447851,"f5477db4-e37e-41d1-84f7-d053e6271ac5","filled",2022-04-02 18:42:31.736218183,2022-04-02 18:42:31.785094000,"BTCUSD",-277.77500000000146
1,1,1,0,-645.9552227354488,33.208884591682576,-8.331234751231007,0.0014002559759420663,"buy",46014,"market",1.025,44469.625,45850.4,45904.57,45848.85,45873.36,3.61732446,"840610b5-5698-4c65-b5c3-beeeef093594","filled",2022-04-02 18:43:15.581038749,2022-04-02 18:43:15.687444000,"BTCUSD",-332.1000000000058
-1,0,-1,-1,-645.9552227354488,33.208884591682576,-8.331234751231007,-0.002014675013883971,"sell",45690,"market",1.025,91301.875,45873.36,45896.63,45836.8,45836.81,6.57407832,"c3394ef0-5e57-44bf-aec3-d47fbd60d90e","filled",2022-04-02 18:44:16.811165925,2022-04-02 18:44:16.918727000,"BTCUSD",-332.1000000000058
1,1,0,0,-645.9573565037383,32.889874392132285,-9.361168743434593,-0.000006769130616257613,"buy",45909.316,"market",1.025,43778.3732,45746.56,45752.34,45738.57,45749.47,5.74247818,"994c6530-15d2-4609-a86a-649fe3ea4993","filled",2022-04-04 16:30:40.149141023,2022-04-04 16:30:40.204791000,"BTCUSD",-287.6293500000029
1,0,-1,-1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"sell",45628.702,"market",1.025,90547.7928,45749.36,45777.94,45741.41,45760.42,20.48296813,"238f0d4c-9692-4501-be02-761aea373428","filled",2022-04-04 16:31:26.629622215,2022-04-04 16:31:26.703799000,"BTCUSD",-287.6293500000029
0,1,1,1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"buy",45905.304,"market",1.025,43494.8562,45749.36,45777.94,45741.41,45760.42,20.48296813,"d312e813-3d12-466d-9af1-e9fbb717ab79","filled",2022-04-04 16:31:57.901592602,2022-04-04 16:31:57.927556000,"BTCUSD",-285.56089999999676
-1,-1,-1,1,-645.9573565037383,32.889874392132285,-9.361168743434593,0.00006282676574587143,"sell",45626.708,"market",1.025,90262.2319,45764.31,45765.37,45753.08,45763.86,2.21870405,"e42152c2-f823-4533-96d0-82e4c1b72b78","filled",2022-04-04 16:32:16.595023019,2022-04-04 16:32:16.671507000,"BTCUSD",-285.56089999999676
-1,-1,-1,-1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"sell",45554.924,"market",1.025,88285.2329,45707.53,45719.4,45688.99,45690.61,4.84664762,"662a72f3-37a8-474f-88cb-3c5ec6ddf0d2","filled",2022-04-04 17:05:50.228716608,2022-04-04 17:05:50.280166000,"BTCUSD",46693.797099999996
0,-1,1,1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"buy",45841.112,"market",1.025,41298.0931,45694.49,45708.6,45684.23,45694.2,6.31305077,"b34365ca-32bd-4766-a2d8-f72138b88762","filled",2022-04-04 17:08:31.854708149,2022-04-04 17:08:31.889769000,"BTCUSD",-248.37799999999697
0,1,-1,0,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"sell",45598.792,"market",1.025,88036.8549,45727.49,45754.25,45707.16,45728.1,6.00415507,"0d734e39-6605-4ccd-8adc-9067b338081e","filled",2022-04-04 17:10:25.488205087,2022-04-04 17:10:25.529221000,"BTCUSD",-248.37799999999697
1,1,0,-1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"buy",45881.232,"market",1.025,41008.5921,45729.09,45759.15,45718.66,45744.84,5.51552672,"c6c8680e-12fb-4ed8-bef4-a35695a48e56","filled",2022-04-04 17:17:43.918856153,2022-04-04 17:17:43.983313000,"BTCUSD",-265.9967250000045
1,-1,-1,1,-645.9573565037383,32.889874392132285,-9.361168743434593,0.0012363705255067359,"sell",45621.723,"market",1.025,87770.8582,45741.08,45782.47,45739.66,45771.2,4.94168982,"764cde8c-3ddb-4d8e-99a6-9bfa7645789c","filled",2022-04-04 17:19:07.322808387,2022-04-04 17:19:07.509932000,"BTCUSD",-265.9967250000045
1,-1,1,-1,-645.9573565037383,32.889874392132285,-9.361168743434593,-0.0003089690104899345,"buy",45897.28,"market",1.025,40726.1462,45741.08,45782.47,45739.66,45771.2,4.94168982,"ca6579c2-7571-4990-a10d-6effc056156a","filled",2022-04-04 17:19:38.061839149,2022-04-04 17:19:38.096917000,"BTCUSD",-282.445925
-1,-1,0,-1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"sell",45621.723,"market",1.025,87488.4123,45741.08,45782.47,45739.66,45771.2,4.94168982,"edd556eb-722a-41fd-a827-4cb29b5f0326","filled",2022-04-04 17:19:53.891665856,2022-04-04 17:19:53.996617000,"BTCUSD",-282.445925
1,-1,1,1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"buy",45897.28,"market",1.025,40443.7003,45755.34,45775,45749.39,45752.81,3.02372562,"f613132f-0dde-42c4-a6ff-239a3aa9b7b2","filled",2022-04-04 17:22:53.545307874,2022-04-04 17:22:53.587363000,"BTCUSD",
-1,-1,-1,1,-645.9573565037383,32.889874392132285,-9.361168743434593,0,"sell",45621.723,"market",1.025,87205.9664,45752.81,45775,45751.39,45751.43,2.20291405,"19f550ec-bced-4509-8979-c4c7cc41a3f7","filled",2022-04-04 17:23:09.842947378,2022-04-04 17:23:09.914961262,"BTCUSD",
1,1,1,1,-749.5661540627341,32.4770784663772,-9.093231410720598,0,"buy",46809.007,"market",1.025,99255.3337,46666.38,46681.65,46648.36,46665.47,21.91805457,"fa88297d-2f95-438b-995f-6ecc854e4d4b","filled",2022-04-05 11:12:22.203512007,2022-04-05 11:12:22.225798000,"BTCUSD",-262.4881499999901
-1,0,-1,-1,-749.5661540627341,32.4770784663772,-9.093231410720598,0.0011701002948474315,"sell",46552.921,"market",1.025,146972.0778,46668.63,46685,46645.87,46684.46,8.37092949,"9a46fe77-7608-4919-bad6-7bbef40359c2","filled",2022-04-05 11:13:28.297609148,2022-04-05 11:13:28.386119000,"BTCUSD",-262.4881499999901
0,0,1,1,-324.1804303474448,30.477000084715186,-7.70056818736399,-0.0019134191882922424,"buy",43588.374,"market",1.025,55321.9167,43472.37,43475.33,43451.96,43455.1,4.74102467,"ad569b7a-56e8-4a17-ad26-6c7ae976b01b","filled",2022-04-07 08:07:48.133760921,2022-04-07 08:07:48.230650000,"BTCUSD",-243.7624250000008
0,0,-1,1,-324.1804303474448,30.477000084715186,-7.70056818736399,-0.0005698635997600787,"sell",43350.557,"market",1.025,99756.2377,43475.83,43482.28,43466.94,43474.92,5.0654088,"1bf3ad17-4d7b-4ce9-b796-5976cee6dc85","filled",2022-04-07 08:12:11.565787589,2022-04-07 08:12:11.583176000,"BTCUSD",-243.7624250000008
0,0,1,1,-324.1804303474448,30.477000084715186,-7.70056818736399,-0.0007854168257501737,"buy",43569.317,"market",1.025,55097.6878,43459.85,43461.81,43450.73,43452.59,2.90305721,"787b5a1c-db43-4fc0-9213-6a79aa464881","filled",2022-04-07 08:18:44.530255208,2022-04-07 08:18:44.548175000,"BTCUSD",-198.6808749999982
0,-1,-1,1,-324.1804303474448,30.477000084715186,-7.70056818736399,0.0026171860163559657,"sell",43375.482,"market",1.025,99557.5569,43483.6,43510.06,43483.59,43510.05,3.21710044,"8b8f5345-9fe6-4a3b-b3d8-b2fffaa298c2","filled",2022-04-07 08:28:36.808656505,2022-04-07 08:28:36.919731000,"BTCUSD",-198.6808749999982
0,0,1,1,-324.1804303474448,30.477000084715186,-7.70056818736399,-0.0006607459172970342,"buy",43598.404,"market",1.025,54869.1928,43459.01,43459.45,43447.41,43453.47,2.1493097,"fa34dd74-fdf6-4e4b-bfc2-c3a09f40da30","filled",2022-04-07 08:42:50.568712826,2022-04-07 08:42:50.593496000,"BTCUSD",
0,0,-1,1,-324.1804303474448,30.477000084715186,-7.70056818736399,0.001241436684891628,"sell",43394.425,"market",1.025,99348.4785,43519.95,43523.75,43515.86,43522.5,0.4731468,"c630ddfb-e1ce-4ea4-ab70-cf8b8ea6f745","filled",2022-04-07 08:59:18.881565773,2022-04-07 08:59:18.961030896,"BTCUSD",
